Date,Open,High,Low,Close
03-05-2004,"2,083.20","2,083.20","2,035.05","2,060.61"
04-05-2004,"2,064.97","2,104.21","2,064.97","2,099.87"
05-05-2004,"2,100.01","2,127.53","2,100.01","2,118.05"
06-05-2004,"2,125.26","2,140.39","2,116.73","2,123.84"
07-05-2004,"2,124.18","2,124.18","2,073.67","2,078.82"
10-05-2004,"2,077.07","2,077.07","2,028.07","2,038.46"
11-05-2004,"2,035.10","2,035.10","1,987.84","1,997.78"
12-05-2004,"1,999.54","2,033.36","1,997.71","2,019.92"
13-05-2004,"2,021.15","2,108.05","1,939.79","2,077.88"
14-05-2004,"2,078.44","2,107.11","2,011.23","2,025.81"
17-05-2004,"2,020.71","2,020.71","1,717.12","1,753.98"
18-05-2004,"1,757.18","2,007.31","1,757.18","1,974.99"
19-05-2004,"1,982.01","2,028.87","1,964.05","1,999.67"
20-05-2004,"2,000.23","2,072.30","1,971.59","1,976.89"
21-05-2004,"1,976.24","1,995.10","1,937.95","1,987.29"
24-05-2004,"1,989.41","2,150.41","1,987.78","2,142.58"
25-05-2004,"2,141.80","2,163.66","2,076.86","2,140.16"
26-05-2004,"2,146.93","2,159.93","2,111.16","2,124.15"
27-05-2004,"2,117.97","2,147.84","2,098.28","2,126.41"
28-05-2004,"2,132.05","2,139.40","1,989.10","2,011.25"
31-05-2004,"2,008.15","2,063.50","1,955.70","2,042.15"
01-06-2004,"2,044.75","2,089.95","2,044.75","2,061.05"
02-06-2004,"2,062.15","2,083.45","2,048.65","2,076.00"
03-06-2004,"2,091.05","2,100.50","2,003.50","2,012.80"
04-06-2004,"2,013.10","2,042.60","1,985.65","2,033.85"
07-06-2004,"2,066.50","2,067.80","2,017.90","2,035.75"
08-06-2004,"2,058.45","2,060.20","2,014.05","2,028.50"
09-06-2004,"2,027.65","2,047.05","2,021.05","2,031.80"
10-06-2004,"2,031.05","2,066.20","2,022.45","2,060.60"
11-06-2004,"2,061.85","2,064.85","2,001.60","2,008.10"
14-06-2004,"2,007.45","2,013.65","1,950.50","1,955.60"
15-06-2004,"1,955.90","2,003.20","1,952.05","1,992.35"
16-06-2004,"1,994.25","2,016.90","1,988.40","1,999.95"
17-06-2004,"1,999.90","2,026.35","1,989.55","2,020.10"
18-06-2004,"2,025.10","2,046.70","2,004.15","2,028.30"
21-06-2004,"2,032.05","2,067.70","2,031.15","2,059.35"
22-06-2004,"2,063.60","2,065.05","2,041.35","2,061.80"
23-06-2004,"2,060.25","2,080.60","2,028.20","2,036.15"
24-06-2004,"2,042.70","2,096.05","2,030.20","2,088.15"
25-06-2004,"2,075.75","2,113.85","2,074.40","2,105.70"
28-06-2004,"2,111.55","2,172.30","2,111.55","2,168.50"
29-06-2004,"2,173.55","2,179.10","2,133.65","2,148.10"
30-06-2004,"2,147.85","2,162.15","2,109.60","2,115.20"
01-07-2004,"2,118.05","2,150.45","2,096.45","2,142.75"
02-07-2004,"2,141.45","2,161.45","2,110.25","2,140.75"
05-07-2004,"2,144.70","2,166.45","2,129.25","2,137.10"
06-07-2004,"2,133.00","2,153.45","2,114.10","2,146.85"
07-07-2004,"2,138.90","2,148.35","2,082.30","2,092.05"
08-07-2004,"2,092.05","2,135.10","2,031.10","2,054.50"
